session_id;game_id;player_id;start;end;lastControl
0;2;0;2020-01-02 18:56:25;2020-01-02 18:58:05;2020-01-02 18:58:54
1;2;1;2020-01-02 02:35:38;2020-01-02 02:35:48;2020-01-02 02:37:39
2;2;2;2020-01-02 02:31:09;2020-01-02 02:31:38;2020-01-02 02:41:40
3;2;3;2020-01-02 12:16:33;2020-01-02 12:16:58;2020-01-02 12:22:59
4;2;0;2020-01-03 10:18:09;2020-01-03 10:22:23;2020-01-03 10:27:45
5;2;2;2020-01-03 07:05:24;2020-01-03 07:12:00;2020-01-03 07:15:45
6;2;3;2020-01-03 22:54:36;2020-01-03 23:03:09;2020-01-03 22:59:37
7;2;4;2020-01-03 19:25:49;2020-01-03 19:26:06;2020-01-03 19:30:19
8;2;5;2020-01-03 17:15:42;2020-01-03 17:16:23;2020-01-03 17:22:18
9;2;6;2020-01-03 23:17:49;2020-01-03 23:18:29;2020-01-03 23:25:28
10;2;7;2020-01-03 13:57:31;2020-01-03 13:59:22;2020-01-03 14:00:55
11;2;0;2020-01-04 17:59:06;2020-01-04 18:01:00;2020-01-04 18:06:43
12;2;3;2020-01-04 15:30:26;2020-01-04 15:31:36;2020-01-04 15:36:17
13;2;4;2020-01-04 03:34:24;2020-01-04 03:38:10;2020-01-04 03:41:04
14;2;5;2020-01-04 00:01:48;2020-01-04 00:05:06;2020-01-04 00:15:23
15;2;6;2020-01-04 14:24:52;2020-01-04 14:27:38;2020-01-04 14:34:01
16;2;7;2020-01-04 20:36:55;2020-01-04 20:45:06;2020-01-04 20:48:02
17;2;8;2020-01-04 19:56:00;2020-01-04 19:56:47;2020-01-04 20:02:10
18;2;9;2020-01-04 18:49:06;2020-01-04 18:49:20;2020-01-04 18:57:30
19;2;10;2020-01-04 14:54:12;2020-01-04 14:54:45;2020-01-04 14:58:36
20;2;11;2020-01-04 15:21:11;2020-01-04 15:22:20;2020-01-04 15:24:29
21;2;0;2020-01-05 15:28:07;2020-01-05 15:29:39;2020-01-05 15:30:53
22;2;6;2020-01-05 15:18:24;2020-01-05 15:20:59;2020-01-05 15:32:27
23;2;7;2020-01-05 01:46:04;2020-01-05 01:52:15;2020-01-05 01:51:45
24;2;8;2020-01-05 08:49:56;2020-01-05 08:54:26;2020-01-05 08:53:40
25;2;9;2020-01-05 04:03:17;2020-01-05 04:07:40;2020-01-05 04:09:26
