%of screen;clicks per user;;Noise
0,1;8,03569242740989;;1
0,2;8,5721651630283;;
0,3;8,7471906993238;;
0,4;8,35327899382125;;
0,5;8,70598484381571;;
0,6;9,51666720709739;;
0,7;9,79633487995744;;
0,8;9,57975698513078;;
0,9;10,3877016075529;;
1;10,0905932895301;;
1,1;11,3660299722488;;
1,2;11,1621046612394;;
1,3;12,0105122635009;;
1,4;12,7319793177291;;
1,5;12,7572011499404;;
1,6;13,6850403945027;;
1,7;14,4727038263166;;
1,8;15,2674251347142;;
1,9;15,3561429322607;;
2;16,5204650349785;;
2,1;17,2095416158283;;
2,2;17,8798335143859;;
2,3;18,8825156503293;;
2,4;19,7688807575571;;
2,5;20,6037563610525;;
2,6;21,8927010491516;;
2,7;22,5952925825251;;
2,8;23,6932112674027;;
2,9;24,913403374651;;
3;26,4018591622945;;
3,1;27,831925237733;;
3,2;29,0531154720461;;
3,3;29,8857524778801;;
3,4;31,2443280714599;;
3,5;32,8786506288279;;
3,6;34,8775394825349;;
3,7;35,7137681303854;;
3,8;37,4725897525094;;
3,9;38,5817894714546;;
4;40,6060840306145;;
4,1;41,8973919848123;;
4,2;44,1503758228276;;
4,3;45,5294860108796;;
4,4;46,9466120360698;;
4,5;49,3371815964956;;
4,6;50,34102301643;;
4,7;52,3728320005388;;
4,8;54,8110858131732;;
4,9;56,137946998409;;
5;58,6093193992446;;
6;80,6069552480013;;
7;106,794211420997;;
8;136,989330656939;;
9;170,125638691355;;
10;208,573381361495;;
