"country","age_group","user_count","total_revenue","arpu"
"Guyana","45+",24,416.63,17.359583
"Angola","45+",25,381.52,15.2608
"Israel","45+",27,368.57,13.650741
"Ireland_Republic","45+",11,362.68,32.970909
"Uruguay","45+",22,348.78,15.853636
"Suriname","45+",7,341.78,48.825714
"Brazil","45+",18,335.68,18.648889
"Botswana","45+",29,330.69,11.403103
"Guyana","26-35",8,320.86,40.1075
"Nigeria","45+",17,279.75,16.455882
"Laos","26-35",11,252.77,22.979091
"Poland","45+",32,251.57,7.861563
"Turkey","45+",18,248.75,13.819444
"Jordan","45+",15,239.77,15.984667
"Bahamas","45+",19,237.74,12.512632
"Sudan","45+",19,207.83,10.938421
"Macedonia","45+",17,196.84,11.578824
"Kosovo","45+",11,191.84,17.44
"Dominican_Republic","45+",14,163.77,11.697857
"Bhutan","45+",9,159.84,17.76
